26-07-2023 09:18:58	Looking for BUSCO runs in /mnt/shared/scratch/jnprice/pseudomonas/busco
26-07-2023 09:18:58	Found 8 BUSCO directories:
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_002905875.2_P_amygdali/run_bacteria_odb10
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_000007805.1_P_syringae/run_bacteria_odb10
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_000012205.1_P_savastanoi/run_bacteria_odb10
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_002905835.1_P_syringae/run_bacteria_odb10
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_000007565.2_P_putida/run_bacteria_odb10
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_900184295.1_P_viridiflava/run_bacteria_odb10
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_000012245.1_P_syringae/run_bacteria_odb10
/mnt/shared/scratch/jnprice/pseudomonas/busco/BUSCO_GCA_002905795.2_P_avellanae/run_bacteria_odb10

26-07-2023 09:18:58	Counting BUSCO proteins:
Name	Complete and single-copy BUSCOs
BUSCO_GCA_002905875.2_P_amygdali 121
BUSCO_GCA_000007805.1_P_syringae 123
BUSCO_GCA_000012205.1_P_savastanoi 124
BUSCO_GCA_002905835.1_P_syringae 124
BUSCO_GCA_000007565.2_P_putida 124
BUSCO_GCA_900184295.1_P_viridiflava 124
BUSCO_GCA_000012245.1_P_syringae 123
BUSCO_GCA_002905795.2_P_avellanae 124

BUSCO protein	#Species	%Species
1490892at2	8	100.00
267682at2	8	100.00
1270636at2	8	100.00
1893906at2	8	100.00
2046660at2	8	100.00
1904463at2	8	100.00
1491686at2	8	100.00
1661836at2	8	100.00
1505038at2	8	100.00
1540940at2	8	100.00
469058at2	8	100.00
874197at2	8	100.00
402899at2	8	100.00
504464at2	8	100.00
1844275at2	8	100.00
1937493at2	8	100.00
1906715at2	8	100.00
984717at2	8	100.00
2063644at2	8	100.00
1949059at2	8	100.00
1272633at2	8	100.00
2075502at2	8	100.00
761140at2	8	100.00
1166299at2	8	100.00
1590629at2	8	100.00
1799923at2	8	100.00
981870at2	8	100.00
1266295at2	8	100.00
223233at2	8	100.00
1043239at2	8	100.00
923547at2	8	100.00
1132353at2	8	100.00
1874945at2	8	100.00
932854at2	8	100.00
219876at2	8	100.00
961486at2	8	100.00
462069at2	8	100.00
665824at2	8	100.00
841869at2	8	100.00
226836at2	8	100.00
1827334at2	8	100.00
1713391at2	8	100.00
91428at2	8	100.00
1497415at2	8	100.00
932993at2	8	100.00
1470978at2	8	100.00
1592033at2	8	100.00
2012682at2	8	100.00
1940575at2	8	100.00
1827295at2	8	100.00
1890943at2	8	100.00
1990141at2	8	100.00
2040741at2	8	100.00
837522at2	8	100.00
1419877at2	8	100.00
353391at2	8	100.00
1842956at2	8	100.00
1707228at2	8	100.00
1567535at2	8	100.00
776861at2	8	100.00
9601at2	8	100.00
1572673at2	8	100.00
1758685at2	8	100.00
232152at2	8	100.00
1395197at2	8	100.00
1024388at2	8	100.00
1009041at2	8	100.00
2066663at2	8	100.00
384865at2	8	100.00
1963491at2	8	100.00
